Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
2110	-450.572	-432.05	-18.5226	663408.1	7.226071	0.99844	0.999601	1.0004	1.00156	4.228385
2120	-449.271	-433.858	-15.4129	329459.8	6.537882	0.997786	0.999434	1.00056	1.00222	3.713719
2130	-435.024	-424.332	-10.6925	81310.53	8.301558	0.995546	0.998858	1.00114	1.00446	3.26302
2140	-432.687	-420.105	-12.5826	815923.9	8.195302	0.998593	0.99964	1.00036	1.00141	3.486677
2150	-439.697	-418.769	-20.9285	37324.22	6.274815	0.993428	0.998312	1.00167	1.00659	4.540812
2160	-438.334	-421.86	-16.4738	41044.05	7.546936	0.993733	0.998391	1.0016	1.00628	3.958608
2170	-426.333	-416.619	-9.7139	250672.8	9.20536	0.997462	0.99935	1.00065	1.00254	3.187171
2180	-435.383	-419.133	-16.2501	164498.1	10.54079	0.996868	0.999198	1.0008	1.00314	3.80224
2190	-438.569	-420.722	-17.847	543980.1	6.215065	0.998277	0.999559	1.00044	1.00172	4.039773
2200	-440.657	-422.187	-18.47	170010.3	7.381675	0.996919	0.999211	1.00079	1.00308	4.223162
2210	-443.422	-422.36	-21.0628	333005.8	5.775204	0.997798	0.999437	1.00056	1.0022	4.500092
2220	-440.621	-420.821	-19.7999	553374.5	11.62114	0.998292	0.999563	1.00044	1.00171	4.012709
2230	-437.646	-427.233	-10.4138	20356.94	8.376696	0.991105	0.99771	1.00226	1.00892	3.234181
2240	-437.202	-420.759	-16.4435	747782.6	8.54733	0.99853	0.999624	1.00038	1.00147	3.948919
2250	-436.321	-422.754	-13.5666	625947.8	8.701661	0.998394	0.999589	1.00041	1.00161	3.612589
2260	-453.348	-436.235	-17.1135	972063.1	8.425773	0.998711	0.99967	1.00033	1.00129	4.032197
2270	-440.207	-428.15	-12.0573	356590.2	9.314504	0.997872	0.999456	1.00054	1.00213	3.440823
2280	-439.374	-425.96	-13.4148	806708	9.331837	0.998585	0.999638	1.00036	1.00142	3.586107
2290	-419.925	-411.009	-8.9163	842543.9	10.50122	0.998616	0.999646	1.00035	1.00139	3.107121
2300	-432.152	-418.696	-13.4558	970861.2	6.500308	0.99871	0.99967	1.00033	1.00129	3.406
2310	-442.254	-427.631	-14.6226	416217.9	9.999748	0.99803	0.999496	1.0005	1.00197	3.682135
2320	-444.402	-424.056	-20.3459	768088.6	6.484548	0.99855	0.999629	1.00037	1.00145	4.464951
2330	-442.51	-423.39	-19.1196	244466.8	10.07902	0.99743	0.999342	1.00066	1.00257	4.123629
2340	-439.285	-423.929	-15.356	459342.3	7.54734	0.998125	0.99952	1.00048	1.00188	3.810514
2350	-435.134	-425.435	-9.69845	79855.77	12.83397	0.995505	0.998848	1.00115	1.0045	3.082765
2360	-431.995	-418.687	-13.3082	255180.3	9.604395	0.997485	0.999356	1.00064	1.00252	3.566478
2370	-447.903	-431.71	-16.1938	410819.1	7.692022	0.998018	0.999493	1.00051	1.00198	3.925459
2380	-442.236	-422.816	-19.4199	36331.5	6.311168	0.993339	0.998289	1.0017	1.00668	4.304681
2390	-441.385	-423.905	-17.48	700405.1	5.673935	0.998482	0.999612	1.00039	1.00152	3.849653
2400	-428.499	-413.981	-14.5177	388593.9	7.56882	0.997962	0.999478	1.00052	1.00204	3.70077
2410	-430.105	-416.292	-13.8131	118848.6	7.582292	0.996315	0.999056	1.00094	1.00369	3.608656
2420	-430.655	-414.714	-15.9409	499190	7.960038	0.998201	0.99954	1.00046	1.0018	3.896782
2430	-428.595	-421.002	-7.59336	432170.6	11.14356	0.998067	0.999505	1.00049	1.00193	2.97359
2440	-434.871	-418.686	-16.1847	317320.3	10.70042	0.997744	0.999423	1.00058	1.00226	3.782768
2450	-436.292	-420.448	-15.8443	989324.6	8.048824	0.998722	0.999673	1.00033	1.00128	3.885063
2460	-430.194	-414.269	-15.925	820395	8.83826	0.998597	0.999641	1.00036	1.0014	3.878664
2470	-448.322	-426.68	-21.6419	403218.1	5.163039	0.997999	0.999488	1.00051	1.002	4.453378
2480	-439.647	-423.837	-15.8104	833517	9.876326	0.998608	0.999644	1.00036	1.00139	3.809422
2490	-430.328	-419.908	-10.4202	282602.4	9.800852	0.99761	0.999388	1.00061	1.00239	3.264492
2500	-438.617	-418.824	-19.7935	379836.9	6.63686	0.997938	0.999472	1.00053	1.00206	4.390108
2510	-449.187	-428.585	-20.6026	796267.8	7.539161	0.998576	0.999636	1.00036	1.00142	4.506028
2520	-440.403	-422.761	-17.642	370215.2	9.150637	0.997912	0.999466	1.00053	1.00209	4.052324
2530	-433.521	-420.873	-12.6473	292976.5	7.12435	0.997653	0.999399	1.0006	1.00235	3.40127
